CO_PER_ROL,EXEC_FULLNAME,YEAR,T_NAME
11246,Leonard Riggio,2016,LeonardRiggio
46165,Louis DiNardo,2015,loudinardo
21227,Louis R. Chenevert,2014,louis_chenevert
45166,Margaret Cushing Whitman,2015,MegWhitman
35574,Mariner Kemper,2016,MarinerKemper
47607,Marissa A. Mayer,2016,marissamayer
19977,Mark D. Dankberg,2016,Fake_Dank
15928,Mark B. Templeton,2015,markbtempleton
47585,Mark Breitbard,2016,MBreitbard
44443,Mark Vincent Hurd,2015,MarkVHurd
36916,Martin S. Craighead,2016,MartinCraighead
17865,Mary E. Junck,2015,maryjunck
43235,Michael K. Simon,2015,XivelyMike
54822,Michael R. MacDonald,2015,DSWMike_CEO
51131,Michael J. Boustridge,2015,boustridge
51084,Michael Gavin Isaacs,2016,Gavisaacs
46223,Michael P. Huseby,2014,HusebyMichael
43555,Michael L. Reger,2016,mlreger
36093,Millard S. Drexler,2016,MillardDrexler
38626,Mindy F. Grossman,2016,mindygrossman
53263,Mitchell E. Rudin,2016,mitchrudin
36061,Montgomery F. Moran,2015,montyfmoran
32193,Muhtar Kent,2016,muhtarkent
44007,Murray S. Kessler,2014,MurrayKessler
29215,"Myron E. Ullman, III",2015,ullmanme
46347,Naren K. Gursahaney,2015,NarenGursahaney
53301,Nora M. Denzel,2015,NoraDenzel
36420,O. Bruton Smith,2015,OBrutonSmith
46174,Omar S. Ishrak,2016,MedtronicCEO
42506,Pamela H. Patsley,2015,PamPatsley
51487,Parker H. Petit,2016,PetePetitGroup
44673,Patrick C. Henry,2014,QuestFusion
28958,Paul J. Diaz,2014,PaulJDiaz1
36484,Paul B. Dykstra,2014,PaulDykstra14
36077,Paul Marciano,2014,Paulmarciano9
54724,Paul A. Hooper,2016,PaulHooperCEO
35646,Paul M. Bisaro,2014,PaulBisaro
22276,Peter E. Kalan,2015,PeterKalan
49366,Peter A. Leav,2015,PeterLeav
47825,Peter A. Altabef,2014,PAltabef
29693,"Phil Rykhoek, Sr.",2016,RykhoekP
49665,Prasad L. Rampalli,2014,prampalli
39275,Ramesh Srinivasan,2014,RameshOoyala
46796,Randall S. Dearth,2016,RSDearth
50218,Randall D. Stilley,2016,rdstilley
51340,Raul Marcelo Claure,2016,marceloclaure
15945,Raymond D. Zinn,2014,Ray_Zinn_
36200,Reece A. Kurtenbach,2016,ReeceKurtenbach
27551,Rex W. Tillerson,2016,tillerson_w
53704,Richard E. Belluzzo,2016,RickBelluzzo
25169,"Richard J. Dugas, Jr.",2016,RichDugasPulte
60373,Richard Costolo,2014,dickc
45864,Robert M. Lynch,2014,ArtsCEOLynch
33154,Robert M. Dutkowsky,2016,NotBobDutkowsky
35975,Robert Greifeld,2016,GreifeldRobert
48527,Roman Suarez Blanco,2014,bosco2998
44423,Ronald W. Jibson,2015,RJibson
56342,Ronald J. Santilli,2016,ronsantilli
8074,Ronald M. Shaich,2016,shaich
45026,Rory P. Read,2014,RoryRead
42291,"S. David Passman, III",2015,dpassmaniii
21903,Sanjay Mehrotra,2015,MicronCEO
50466,Scott Freidheim,2016,ScottFreidheim
51600,Selina Y. Lo,2015,SloTalking
47670,Serge Matta,2016,sergematta
44602,Shaun E. McAlmont,2014,ShaunMcAlmont
50890,Shaygan Kheradpir,2014,ShayganK
51701,Stanton David Sloane,2016,DrStantonSloane
53730,Stefan Larsson,2016,claes_stefan
43227,Stephen G. Waldis,2016,farhills2626
2469,Steven A. Ballmer,2014,Steven_Ballmer
39662,Strauss H. Zelnick,2016,strausszelnick
33902,Sudhir Steven Singh,2014,SteveSSingh
54784,Thomas Klein,2016,tomkleintk
40077,Timothy M. Armstrong,2014,tim_armstrong
3504,Walden C. Rhines,2016,waldencr
54963,William J. Wackermann,2016,BillWackermann
46246,William L. Ballhaus,2015,BillBallhaus
37514,"James M. Moroney, III",2017,jmoroney_jim
52103,William K. Heiden,2017,wkheiden
31795,Susan R. Salka,2017,susansalka
46485,Michael R. Minogue,2017,MikeMinogueABMD
46385,Ron Cohen,2017,roncohenshair
51675,Robert A. Kotick,2017,BobbyKotick
53525,Lisa W. Wardell,2017,lisawwardell
39865,Michael S. Burke,2017,mikeAECOM
52007,Eileen P. Drake,2017,rakeEileen
46953,Lisa T. Su,2017,LisaSu
34297,Yuval Wasserman,2017,YuvalWasserman
32394,Mark Thomas Bertolini,2017,mtbert
49100,F. Thomson Leighton,2017,TomLeightonAKAM
30982,Sean M. Stack,2017,SeanStack77
34318,"Joel S. Marcus, CPA, J.D.",2017,TheTattooJew
47480,Paul M. Black,2017,PaulMBlack
31079,Lawrence Edward Page,2017,Plaid_Page
14745,Jeffrey P. Bezos,2017,jeffbezos
40040,"Wallace E. Boston, Jr.",2017,wallyboston
24915,Steven H. Collis,2017,stevecollis_abc
15741,Timothy D. Cook,2017,tim_cook
37458,Christopher H. Franklin,2017,chrisaquaceo
38410,Antonio J. Pietri,2017,antoniojpietri
20938,Michael J. Jackson,2017,ceomikejackson
49651,"Louis Hernandez, Jr.",2017,lhernandezjr
34381,Larry D. De Shon,2017,ceolarrydeshon
48629,Patrick W. Smith,2017,axonrick
38480,Richard A. Meeusen,2017,rmeeusen
60148,Lorenzo Simonelli,2017,simonelli_l
46800,"James D. Rollins, III",2017,jdrollins3
4699,Warren E. Buffett,2017,WarrenBuffett
51248,Michael P. Gianoni,2017,mikegianoni
45065,Dennis A. Muilenburg,2017,BoeingCEO
20562,Pehong Chen,2017,PehongChen
55319,Stephen D. Lebovitz,2017,SDLebovitz
53446,Shelley G. Broader,2017,broaderview
47917,Charles H. Robbins,2017,ChuckRobbins
55348,Kirill Tatarinov,2017,KirillTatarinov
40022,Gian M. Fulgoni,2017,gfulgoni
41861,Damon T. Hininger,2017,DamonHininger
39446,"Victor Gordon Clemons, Sr.",2017,golf02022002
52222,Peter J. Ungaro,2017,PeterUngaro1
49123,William J. Grubbs,2017,CEOCrossCountry
60228,James A. Reinstein,2017,JAReinstein
52613,Hassane El-Khoury,2017,HassaneElkhoury
46268,Michael P. Durney,2017,MikeDurney1
21028,Kent J. Thiry,2017,KentThiry
4471,Michael S. Dell,2017,MichaelDell
48362,Andreas Walter Mattes,2017,Andy_Mattes
20714,Robert A. Iger,2017,RobertIger
44115,James B. Connor,2017,JBC366
48708,Robert P. Carrigan,2017,BobCarrigan
51216,Nigel Travis,2017,nigeltravis
45962,Robert C. Flexon,2017,robert_flexon
45686,Devin N. Wenig,2017,devinwenig
51017,Douglas R. Waggoner,2017,echoceo
23730,"Douglas M. Baker, Jr.",2017,CEOEcolab
55412,Scott N. Flanders,2017,sflanders1 ?
46511,Guy Gecht,2017,GuyGecht
20826,David J. Field,2017,DavidFieldETM
34604,Dara Khosrowshahi,2017,dkhos
25711,Andrew C. Teich,2017,AndyTeich
37283,Gary Adam Norcross,2017,Gary_Norcross
30590,Jeffrey W. Yabuki,2017,jeffyabuki
42620,Alessandro P. DiNello,2017,sandrodinello
39627,George F. Colony,2017,gcolony
48674,Ken Xie,2017,KenXieFortinet
37246,Arthur Peck,2017,Artpeck
21042,Jeffrey R. Immelt,2017,JeffImmelt
47522,Mary T. Barra,2017,mtbarra
49157,Thomas Joseph McInerney,2017,TomMcInerney82
24950,Lloyd C. Blankfein,2017,lloydblankfein
50624,Timothy J. OShaughnessy,2017,oshy
34783,William C. Lucia,2017,BCLHMS
48404,Dion J. Weisler,2017,dionweisler
52624,Karen A. Puckett,2017,Karen_A_Puckett
21459,Brian D. Goldner,2017,_bgoldner
37431,Theodore Wahl,2017,edWahlHCSG
52952,Krishnan Rajagopalan,2017,KRajagopalan_
51789,Margaret Cushing Whitman,2017,MegWhitman
54003,Mark K. Mason,2017,Masoniam
45547,Bruce Dale Broussard,2017,BruceDBroussard
53240,Joseph M. Levin,2017,joeyl
55260,John N. Haugh,2017,sgh_john
45089,Robert W. Pittman,2017,PittmanRadio
51887,Francis A. deSouza,2017,fdesouza
59445,Paul M. Bisaro,2017,PaulBisaro
50766,Herv Hoppenot,2017,IloveIncyte
39396,Christopher Oddleifson,2017,chrisoddleifson
47026,Brian M. Krzanich,2017,bkrunner
42877,Thomas Pechy Peterffy,2017,thomas_peterffy
18155,Lesa France Kennedy,2017,LesaISC
30009,Brad D. Smith,2017,IntuitBrad
50397,Matthew J. Desch,2017,IridiumBoss
28524,Philip C. Mezey,2017,PhilipMezey
48744,Richard Brian Handler,2017,HandlerRich
47383,Rami Rahim,2017,ramirahim
1329,Leslie H. Wexner,2017,Les_Wexner
31113,Jason D. Lippert,2017,JasonDLippert
51515,Douglas R. Lebda,2017,DougLebda
43015,"William P. Angrick, III",2017,bill_angrick
36297,Michael Rapino,2017,rapino99
44266,Robert P. LoCascio,2017,RobLoCascio
49214,William R. Wagner,2017,B_Wagner
37869,Alfredo Bala,2017,albala
34053,Jonas Prising,2017,JonasPrising
29848,Gregory S. Marcus,2017,GregorySMarcus
24684,Jos Ramon Mas,2017,JoseRMas
32096,Lawrence E. Kurzius,2017,LKurzius
50557,Stephen J. Easterbrook,2017,SteveEasterbrk
44567,Clive A. Meanwell,2017,clive_meanwell
35903,Mark Aslett,2017,MRCY_CEO
47866,Satya Nadella,2017,satyanadella
18581,Michael J. Saylor,2017,michael_saylor
44925,James C. ORourke,2017,JocOrourke
26740,Gregory Q. Brown,2017,gregbrownmoto
30276,William R. Nuti,2017,Bill_Nuti
46561,Harry H. Herington,2017,HarryatNIC
42731,Mauricio Gutierrez,2017,NRGMauricio
35980,Adena T. Friedman,2017,adenatfriedman
32861,"Wilmot Reed Hastings, Jr.",2017,reedhastings
45243,Michael B. Polk,2017,MichaelPolk55
26848,James L. Robo,2017,JimRoboCEO
28546,Frederick H. Waddell,2017,FredWaddell2016
47590,Dawn M. Zier,2017,DawnZierNTRI
49405,Rodney Hershberger,2017,rod_hershberger
60380,Colin Shannon,2017,MrColinShannon
24935,James E. Heppelmann,2017,JimHeppelmann
17117,John H. Schnatter,2017,IAmPapaJohn
51420,Daniel H. Schulman,2017,Dan_Schulman
50097,Marvin R. Ellison,2017,MarvinREllison
18812,Indra K. Nooyi,2017,IndraNooyi
46177,Joseph B. Burton,2017,JoeBBurton
54830,Yogesh Gupta,2017,yogeshgupta1
52397,Victoria M. Holt,2017,VickiMHolt
24119,"John Robert Strangfeld, Jr.",2017,John_Strangfeld
38760,Steven M. Mollenkopf,2017,stevemollenkopf
52092,Philippe F. Courtot,2017,pcourtot
46286,Douglas Valenti,2017,"dougquinstreet, dvalentiquinstr, dougvquinstreet"
33045,Brian J. Bronson,2017,BronsonRadisys
60412,Patrice Jean Louis Louvet,2017,patrice_louvet
52168,David L. Liniger,2017,DaveLiniger
47411,Denny Marie Post,2017,DPosted
7995,Leonard S. Schleifer,2017,RegeneronLen
47964,"Michael J. Farrell, BE, SM, MBA",2017,ResMedMick
49764,Thomas C. Stabley,2017,tomstabley
60439,Curtis W. Stoelting,2017,curt_stoelting
48142,Blake D. Moret,2017,BlakeDMoret
33840,Robert K. Ortberg,2017,rkortberg
30933,Barbara Rentler,2017,BarbaraRentler
46695,Edward J. Lehner,2017,EddieLehner
36592,Todd D. Brice,2017,ToddBrice_
10417,"Alfred P. West, Jr.",2017,alfred_west
53844,Archie C. Black,2017,rchieBlackSPS
33187,Stephen T. Zarrilli,2017,sz135
37655,Marc R. Benioff,2017,Benioff
36414,Michael L. Baur,2017,scanman57
39157,Paal Kibsgaard,2017,PaalKibsgaard ?
30592,"Walter William Bettinger, II",2017,WaltBettinger
55210,Kevin M. Sheehan,2017,kevinsheehan_sg
11735,James S. Hagedorn,2017,OldCrowP51
20955,Richard A. Boehne,2017,RichBoehne
57734,"Dennis S. Hudson, III",2017,denny_hudson
47102,Jerome A. Peribere,2017,JeromePeribere
53916,Randall J. Garutti,2017,randygarutti
53515,Jonathan Oringer,2017,jonoringer
45718,G. Tyson Tuttle,2017,gttuttle
36421,B. Scott Smith,2017,ScottSmithSonic
32759,Michael J. Renna,2017,MichaelRenna95
27703,Thomas A. Fanning,2017,ThomasAFanning
19145,Gary C. Kelly,2017,gary_kelly
44801,Suzanne Sitherwood,2017,sitherwood
31563,Kenneth T. McBride,2017,KenM_Stampscom
10976,Howard D. Schultz,2017,HowardSchultz
37912,Ronald James Kruszewski,2017,RonKruszewski
35047,Karl McDonnell,2017,Karl_McDonnell
45326,Kevin A. Lobo,2017,Kevinalobo
44888,Gary R. Maharaj,2017,Garyhxvug
24014,Charles E. Sykes,2017,SYKESCEO
46377,Richard A. Bergman,2017,RickBergmanSyna
13604,Aart J. de Geus,2017,aartdegeus
44114,"Kessel D. Stelling, Jr.",2017,KesselStelling
51767,Margaret M. Keane,2017,SYFMKeane
53965,Timothy D. Hockey,2017,TimHockey
59282,Calvin H. Knowlton,2017,CalvinKnowlton
56186,Gerald R. Mattys,2017,uprmgmt
37074,David T. Lougee,2017,DTLougee
54550,Victor Lynn Lund,2017,VicLLund
52753,Donato J. Tramuto,2017,DonatoTramuto
34273,Alan David Schnitzer,2017,TRVSchnitz
46081,Stephen Kaufer,2017,kaufer
38702,Kenneth D. Tuchman,2017,Gronsdorfer
10790,E. V. Goings,2017,RickGoingsTUP
36577,James Rupert Murdoch,2017,jamesmurdoch83
60377,Jack Dorsey,2017,jack
53892,Thomas P. Hayes,2017,Tom_Hayes
32598,Kevin G. Guest,2017,USANA_Kevin
53090,Mary N. Dillon,2017,MaryNDillon
51968,Peter A. Altabef,2017,PAltabef
53185,Oscar Munoz,2017,UnitedMunoz
30189,Randy Allen Ramlo,2017,RamloRandy
37941,Martine A. Rothblatt,2017,Skybiome
27078,"Matthew Jon Missad, CPA",2017,mmissad1
42292,Richard Paul McKenney,2017,UnumRick
49520,Jeffrey R. Feeler,2017,Jeff_Feeler
54363,Sunny S. Sanyal,2017,SunnySanyal
48646,Paul S. Galant,2017,PaulGalant
51685,Scott G. Stephenson,2017,sgsyes0619
55782,Alan B. Masarek,2017,alanmasarek
9198,Garry O. Ridge,2017,LearningMoment
47170,"James C. Fish, Jr.",2017,jimfishwm
59618,Mindy F. Grossman,2017,mindygrossman
48706,Todd Allan Penegor,2017,toddpenegor33
28890,Derek J. Leathers,2017,Derek_Leathers
36009,Hikmet Ersek,2017,WesternUnionCEO
24471,Laura J. Alber,2017,nonamemarin
40005,Anthony W. Thomas,2017,TonyThomasWIN
53922,Charles R. Morrison,2017,WingstopCEO
29803,Michael J. Kasbar,2017,kazzy13a
51870,Vincent K. McMahon,2017,VinceMcMahon
37104,Stephen A. Wynn,2017,stevewynnfacts
49101,Michael F. Steib,2017,msteib
50421,Patrick K. Decker,2017,PatrickKDecker
55243,David J. Wagner,2017,DWagnerPSU
50744,Brenton L. Saunders,2017,brentlsaunders
44905,Pierre Nanterme,2017,PNanterme
38449,Alex A. Molinaroli,2017,amolinaroli
49062,Dwight Mitchell Barns,2017,MitchBarns
26698,Stephen J. Luczo,2017,SteveLuczo
55059,John J. Haley,2017,JohnJamesHaley
47961,Ilan Levin,2017,LevinIlan
49916,Richard D. Fain,2017,richard00857062
