CO_PER_ROL,YEAR,CUSIP,CONAME,EXEC_FNAME,EXEC_FULLNAME,EXEC_LNAME,EXEC_MNAME,CEOANN
5623,2005,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2006,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2007,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2008,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2009,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2010,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2011,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2012,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2013,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2014,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2015,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
5623,2016,00036110,AAR CORP,David,David P. Storch,Storch,P.,CEO
11766,1996,00079410,ACC CORP,David,David K. Laniak,Laniak,K.,CEO
11767,1995,00079410,ACC CORP,Richard,Richard T. Aab,Aab,T.,CEO
2611,1993,00088630,ADC TELECOMMUNICATIONS INC,William,William J. Cadogan,Cadogan,J.,CEO
2611,1994,00088630,ADC TELECOMMUNICATIONS INC,William,William J. Cadogan,Cadogan,J.,CEO
2611,1995,00088630,ADC TELECOMMUNICATIONS INC,William,William J. Cadogan,Cadogan,J.,CEO
2611,1996,00088630,ADC TELECOMMUNICATIONS INC,William,William J. Cadogan,Cadogan,J.,CEO
2611,1997,00088630,ADC TELECOMMUNICATIONS INC,William,William J. Cadogan,Cadogan,J.,CEO
2611,1998,00088630,ADC TELECOMMUNICATIONS INC,William,William J. Cadogan,Cadogan,J.,CEO
2611,1999,00088630,ADC TELECOMMUNICATIONS INC,William,William J. Cadogan,Cadogan,J.,CEO
2611,2000,00088630,ADC TELECOMMUNICATIONS INC,William,William J. Cadogan,Cadogan,J.,CEO
8741,2004,00088630,ADC TELECOMMUNICATIONS INC,Robert,Robert E. Switz,Switz,E.,CEO
8741,2005,00088630,ADC TELECOMMUNICATIONS INC,Robert,Robert E. Switz,Switz,E.,CEO
8741,2006,00088630,ADC TELECOMMUNICATIONS INC,Robert,Robert E. Switz,Switz,E.,CEO
8741,2007,00088630,ADC TELECOMMUNICATIONS INC,Robert,Robert E. Switz,Switz,E.,CEO
8741,2008,00088630,ADC TELECOMMUNICATIONS INC,Robert,Robert E. Switz,Switz,E.,CEO
8741,2009,00088630,ADC TELECOMMUNICATIONS INC,Robert,Robert E. Switz,Switz,E.,CEO
8741,2010,00088630,ADC TELECOMMUNICATIONS INC,Robert,Robert E. Switz,Switz,E.,CEO
23275,2001,00088630,ADC TELECOMMUNICATIONS INC,Richard,Richard R. Roscitt,Roscitt,R.,CEO
23275,2002,00088630,ADC TELECOMMUNICATIONS INC,Richard,Richard R. Roscitt,Roscitt,R.,CEO
23275,2003,00088630,ADC TELECOMMUNICATIONS INC,Richard,Richard R. Roscitt,Roscitt,R.,CEO
5651,1994,00095710,ABM INDUSTRIES INC,Sydney,Sydney J. Rosenberg,Rosenberg,J.,CEO
5652,1995,00095710,ABM INDUSTRIES INC,William,William W. Steele,Steele,W.,CEO
5652,1996,00095710,ABM INDUSTRIES INC,William,William W. Steele,Steele,W.,CEO
5652,1997,00095710,ABM INDUSTRIES INC,William,William W. Steele,Steele,W.,CEO
5652,1998,00095710,ABM INDUSTRIES INC,William,William W. Steele,Steele,W.,CEO
5652,1999,00095710,ABM INDUSTRIES INC,William,William W. Steele,Steele,W.,CEO
5652,2000,00095710,ABM INDUSTRIES INC,William,William W. Steele,Steele,W.,CEO
15843,2001,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2002,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2003,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2004,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2005,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2006,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2007,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2008,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2009,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2010,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2011,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2012,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2013,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
15843,2014,00095710,ABM INDUSTRIES INC,Henrik,Henrik C. Slipsager,Slipsager,C.,CEO
51946,2015,00095710,ABM INDUSTRIES INC,Scott,Scott B. Salmirs,Salmirs,B.,CEO
51946,2016,00095710,ABM INDUSTRIES INC,Scott,Scott B. Salmirs,Salmirs,B.,CEO
51946,2017,00095710,ABM INDUSTRIES INC,Scott,Scott B. Salmirs,Salmirs,B.,CEO
46347,2011,00101J10,ADT CORP,Naren,Naren K. Gursahaney,Gursahaney,K.,CEO
46347,2012,00101J10,ADT CORP,Naren,Naren K. Gursahaney,Gursahaney,K.,CEO
46347,2013,00101J10,ADT CORP,Naren,Naren K. Gursahaney,Gursahaney,K.,CEO
46347,2014,00101J10,ADT CORP,Naren,Naren K. Gursahaney,Gursahaney,K.,CEO
46347,2015,00101J10,ADT CORP,Naren,Naren K. Gursahaney,Gursahaney,K.,CEO
2653,1992,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,1993,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,1994,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,1995,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,1996,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,1997,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,1998,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,1999,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2000,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2001,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2002,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2003,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2004,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2005,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2006,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2007,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2008,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2009,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2010,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2011,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2012,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2013,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2014,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2015,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2016,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
2653,2017,00105510,AFLAC INC,Daniel,Daniel Paul Amos,Amos,Paul,CEO
8383,1993,00108410,AGCO CORP,Robert,Robert J. Ratliff,Ratliff,J.,CEO
8383,1994,00108410,AGCO CORP,Robert,Robert J. Ratliff,Ratliff,J.,CEO
8383,1995,00108410,AGCO CORP,Robert,Robert J. Ratliff,Ratliff,J.,CEO
8383,1996,00108410,AGCO CORP,Robert,Robert J. Ratliff,Ratliff,J.,CEO
8383,1998,00108410,AGCO CORP,Robert,Robert J. Ratliff,Ratliff,J.,CEO
8383,2002,00108410,AGCO CORP,Robert,Robert J. Ratliff,Ratliff,J.,CEO
8383,2003,00108410,AGCO CORP,Robert,Robert J. Ratliff,Ratliff,J.,CEO
8384,1999,00108410,AGCO CORP,John,John M. Shumejda,Shumejda,M.,CEO
8384,2000,00108410,AGCO CORP,John,John M. Shumejda,Shumejda,M.,CEO
8384,2001,00108410,AGCO CORP,John,John M. Shumejda,Shumejda,M.,CEO
12691,1997,00108410,AGCO CORP,J-P,J-P Richard,Richard,,CEO
28867,2004,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2005,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2006,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2007,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2008,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2009,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2010,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2011,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2012,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2013,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2014,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2015,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2016,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
28867,2017,00108410,AGCO CORP,Martin,Martin H. Richenhagen,Richenhagen,H.,CEO
36139,2006,00128210,A. H. BELO CORP,Robert,Robert W. Decherd,Decherd,W.,CEO
36139,2007,00128210,A. H. BELO CORP,Robert,Robert W. Decherd,Decherd,W.,CEO
36139,2008,00128210,A. H. BELO CORP,Robert,Robert W. Decherd,Decherd,W.,CEO
36139,2009,00128210,A. H. BELO CORP,Robert,Robert W. Decherd,Decherd,W.,CEO
36139,2010,00128210,A. H. BELO CORP,Robert,Robert W. Decherd,Decherd,W.,CEO
36139,2011,00128210,A. H. BELO CORP,Robert,Robert W. Decherd,Decherd,W.,CEO
36139,2012,00128210,A. H. BELO CORP,Robert,Robert W. Decherd,Decherd,W.,CEO
36139,2013,00128210,A. H. BELO CORP,Robert,Robert W. Decherd,Decherd,W.,CEO
37514,2014,00128210,A. H. BELO CORP,James,"James M. Moroney, III","Moroney, III",M.,CEO
37514,2015,00128210,A. H. BELO CORP,James,"James M. Moroney, III","Moroney, III",M.,CEO
37514,2016,00128210,A. H. BELO CORP,James,"James M. Moroney, III","Moroney, III",M.,CEO
37514,2017,00128210,A. H. BELO CORP,James,"James M. Moroney, III","Moroney, III",M.,CEO
4630,1993,00130H10,AES CORP,Roger,Roger W. Sant,Sant,W.,CEO
4631,1994,00130H10,AES CORP,Dennis,Dennis W. Bakke,Bakke,W.,CEO
4631,1995,00130H10,AES CORP,Dennis,Dennis W. Bakke,Bakke,W.,CEO
4631,1996,00130H10,AES CORP,Dennis,Dennis W. Bakke,Bakke,W.,CEO
4631,1997,00130H10,AES CORP,Dennis,Dennis W. Bakke,Bakke,W.,CEO
4631,1998,00130H10,AES CORP,Dennis,Dennis W. Bakke,Bakke,W.,CEO
4631,1999,00130H10,AES CORP,Dennis,Dennis W. Bakke,Bakke,W.,CEO
4631,2000,00130H10,AES CORP,Dennis,Dennis W. Bakke,Bakke,W.,CEO
4631,2001,00130H10,AES CORP,Dennis,Dennis W. Bakke,Bakke,W.,CEO
21200,2002,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2003,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2004,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2005,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2006,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2007,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2008,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2009,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2010,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
21200,2011,00130H10,AES CORP,Paul,Paul T. Hanrahan,Hanrahan,T.,CEO
32523,2012,00130H10,AES CORP,Andrs Ricardo,Andrs Ricardo Gluski Weilert,Weilert,Gluski,CEO
32523,2013,00130H10,AES CORP,Andrs Ricardo,Andrs Ricardo Gluski Weilert,Weilert,Gluski,CEO
32523,2014,00130H10,AES CORP,Andrs Ricardo,Andrs Ricardo Gluski Weilert,Weilert,Gluski,CEO
32523,2015,00130H10,AES CORP,Andrs Ricardo,Andrs Ricardo Gluski Weilert,Weilert,Gluski,CEO
32523,2016,00130H10,AES CORP,Andrs Ricardo,Andrs Ricardo Gluski Weilert,Weilert,Gluski,CEO
32523,2017,00130H10,AES CORP,Andrs Ricardo,Andrs Ricardo Gluski Weilert,Weilert,Gluski,CEO
13104,1996,00154710,AK STEEL HOLDING CORP,Richard,"Richard M. Wardrop, Jr.","Wardrop, Jr.",M.,CEO
13104,1997,00154710,AK STEEL HOLDING CORP,Richard,"Richard M. Wardrop, Jr.","Wardrop, Jr.",M.,CEO
13104,1998,00154710,AK STEEL HOLDING CORP,Richard,"Richard M. Wardrop, Jr.","Wardrop, Jr.",M.,CEO
13104,1999,00154710,AK STEEL HOLDING CORP,Richard,"Richard M. Wardrop, Jr.","Wardrop, Jr.",M.,CEO
13104,2000,00154710,AK STEEL HOLDING CORP,Richard,"Richard M. Wardrop, Jr.","Wardrop, Jr.",M.,CEO
13104,2001,00154710,AK STEEL HOLDING CORP,Richard,"Richard M. Wardrop, Jr.","Wardrop, Jr.",M.,CEO
13104,2002,00154710,AK STEEL HOLDING CORP,Richard,"Richard M. Wardrop, Jr.","Wardrop, Jr.",M.,CEO
13104,2003,00154710,AK STEEL HOLDING CORP,Richard,"Richard M. Wardrop, Jr.","Wardrop, Jr.",M.,CEO
21573,2004,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2005,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2006,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2007,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2008,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2009,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2010,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2011,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2012,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2013,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2014,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
21573,2015,00154710,AK STEEL HOLDING CORP,James,James L. Wainscott,Wainscott,L.,CEO
47291,2016,00154710,AK STEEL HOLDING CORP,Roger,Roger K. Newport,Newport,K.,CEO
47291,2017,00154710,AK STEEL HOLDING CORP,Roger,Roger K. Newport,Newport,K.,CEO
27088,2003,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,R.,CEO
27088,2004,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,R.,CEO
27088,2005,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,R.,CEO
27088,2006,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,R.,CEO
27088,2007,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,R.,CEO
27088,2008,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,R.,CEO
27088,2009,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,R.,CEO
27088,2010,00163T10,AMB PROPERTY CORP,Hamid,Hamid R. Moghadam,Moghadam,R.,CEO
52103,2012,00163U10,AMAG PHARMACEUTICALS INC,William,William K. Heiden,Heiden,K.,CEO
52103,2013,00163U10,AMAG PHARMACEUTICALS INC,William,William K. Heiden,Heiden,K.,CEO
52103,2014,00163U10,AMAG PHARMACEUTICALS INC,William,William K. Heiden,Heiden,K.,CEO
52103,2015,00163U10,AMAG PHARMACEUTICALS INC,William,William K. Heiden,Heiden,K.,CEO
52103,2016,00163U10,AMAG PHARMACEUTICALS INC,William,William K. Heiden,Heiden,K.,CEO
52103,2017,00163U10,AMAG PHARMACEUTICALS INC,William,William K. Heiden,Heiden,K.,CEO
52120,2007,00163U10,AMAG PHARMACEUTICALS INC,Brian,"Brian J. G. Pereira, M.D.","Pereira, M.D.",J. G.,CEO
52120,2008,00163U10,AMAG PHARMACEUTICALS INC,Brian,"Brian J. G. Pereira, M.D.","Pereira, M.D.",J. G.,CEO
52120,2009,00163U10,AMAG PHARMACEUTICALS INC,Brian,"Brian J. G. Pereira, M.D.","Pereira, M.D.",J. G.,CEO
52120,2010,00163U10,AMAG PHARMACEUTICALS INC,Brian,"Brian J. G. Pereira, M.D.","Pereira, M.D.",J. G.,CEO
52120,2011,00163U10,AMAG PHARMACEUTICALS INC,Brian,"Brian J. G. Pereira, M.D.","Pereira, M.D.",J. G.,CEO
46079,2010,00164V10,AMC NETWORKS INC,Joshua,Joshua W. Sapan,Sapan,W.,CEO
46079,2011,00164V10,AMC NETWORKS INC,Joshua,Joshua W. Sapan,Sapan,W.,CEO
46079,2012,00164V10,AMC NETWORKS INC,Joshua,Joshua W. Sapan,Sapan,W.,CEO
46079,2013,00164V10,AMC NETWORKS INC,Joshua,Joshua W. Sapan,Sapan,W.,CEO
46079,2014,00164V10,AMC NETWORKS INC,Joshua,Joshua W. Sapan,Sapan,W.,CEO
46079,2015,00164V10,AMC NETWORKS INC,Joshua,Joshua W. Sapan,Sapan,W.,CEO
46079,2016,00164V10,AMC NETWORKS INC,Joshua,Joshua W. Sapan,Sapan,W.,CEO
46079,2017,00164V10,AMC NETWORKS INC,Joshua,Joshua W. Sapan,Sapan,W.,CEO
18992,1999,00169310,AMFM INC,Thomas,Thomas O. Hicks,Hicks,O.,CEO
31795,2005,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2006,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2007,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2008,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2009,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2010,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2011,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2012,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2013,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2014,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2015,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2016,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
31795,2017,00174410,AMN HEALTHCARE SERVICES INC,Susan,Susan R. Salka,Salka,R.,CEO
50205,2013,00182C10,ANI PHARMACEUTICALS INC,Arthur,Arthur S. Przybyl,Przybyl,S.,CEO
50205,2014,00182C10,ANI PHARMACEUTICALS INC,Arthur,Arthur S. Przybyl,Przybyl,S.,CEO
50205,2015,00182C10,ANI PHARMACEUTICALS INC,Arthur,Arthur S. Przybyl,Przybyl,S.,CEO
50205,2016,00182C10,ANI PHARMACEUTICALS INC,Arthur,Arthur S. Przybyl,Przybyl,S.,CEO
50205,2017,00182C10,ANI PHARMACEUTICALS INC,Arthur,Arthur S. Przybyl,Przybyl,S.,CEO
40077,2009,00184X10,AOL INC,Timothy,Timothy M. Armstrong,Armstrong,M.,CEO
40077,2010,00184X10,AOL INC,Timothy,Timothy M. Armstrong,Armstrong,M.,CEO
40077,2011,00184X10,AOL INC,Timothy,Timothy M. Armstrong,Armstrong,M.,CEO
40077,2012,00184X10,AOL INC,Timothy,Timothy M. Armstrong,Armstrong,M.,CEO
40077,2013,00184X10,AOL INC,Timothy,Timothy M. Armstrong,Armstrong,M.,CEO
40077,2014,00184X10,AOL INC,Timothy,Timothy M. Armstrong,Armstrong,M.,CEO
2616,1993,00190710,AST RESEARCH INC,Safi,Safi U. Qureshey,Qureshey,U.,CEO
2616,1994,00190710,AST RESEARCH INC,Safi,Safi U. Qureshey,Qureshey,U.,CEO
2616,1995,00190710,AST RESEARCH INC,Safi,Safi U. Qureshey,Qureshey,U.,CEO
12614,1996,00190710,AST RESEARCH INC,Ian,Ian Diery,Diery,,CEO
19849,1999,00191U10,ASGN INC,H.,H. Tom Buelter,Buelter,Tom,CEO
19849,2000,00191U10,ASGN INC,H.,H. Tom Buelter,Buelter,Tom,CEO
19849,2001,00191U10,ASGN INC,H.,H. Tom Buelter,Buelter,Tom,CEO
24595,2002,00191U10,ASGN INC,Joseph,Joseph Peterson,Peterson,,CEO
24595,2003,00191U10,ASGN INC,Joseph,Joseph Peterson,Peterson,,CEO
24595,2004,00191U10,ASGN INC,Joseph,Joseph Peterson,Peterson,,CEO
27741,2005,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2006,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2007,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2008,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2009,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2010,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2011,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2012,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2013,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2014,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2015,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2016,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
27741,2017,00191U10,ASGN INC,Peter,Peter T. Dameris,Dameris,T.,CEO
5037,1992,00192010,ARCO CHEMICAL CO,Alan,Alan R. Hirsig,Hirsig,R.,CEO
5037,1993,00192010,ARCO CHEMICAL CO,Alan,Alan R. Hirsig,Hirsig,R.,CEO
5037,1994,00192010,ARCO CHEMICAL CO,Alan,Alan R. Hirsig,Hirsig,R.,CEO
5037,1995,00192010,ARCO CHEMICAL CO,Alan,Alan R. Hirsig,Hirsig,R.,CEO
5037,1996,00192010,ARCO CHEMICAL CO,Alan,Alan R. Hirsig,Hirsig,R.,CEO
144,1992,00195750,AT&T CORP,Robert,Robert E. Allen,Allen,E.,CEO
144,1993,00195750,AT&T CORP,Robert,Robert E. Allen,Allen,E.,CEO
144,1994,00195750,AT&T CORP,Robert,Robert E. Allen,Allen,E.,CEO
144,1995,00195750,AT&T CORP,Robert,Robert E. Allen,Allen,E.,CEO
144,1996,00195750,AT&T CORP,Robert,Robert E. Allen,Allen,E.,CEO
144,1997,00195750,AT&T CORP,Robert,Robert E. Allen,Allen,E.,CEO
14200,1998,00195750,AT&T CORP,C.,C. Michael Armstrong,Armstrong,Michael,CEO
14200,1999,00195750,AT&T CORP,C.,C. Michael Armstrong,Armstrong,Michael,CEO
14200,2000,00195750,AT&T CORP,C.,C. Michael Armstrong,Armstrong,Michael,CEO
14200,2001,00195750,AT&T CORP,C.,C. Michael Armstrong,Armstrong,Michael,CEO
14200,2002,00195750,AT&T CORP,C.,C. Michael Armstrong,Armstrong,Michael,CEO
