CO_PER_ROL,CUSIP,CONAME,EXEC_FNAME,EXEC_FULLNAME,EXEC_LNAME,YEAR,TWITTER,T_NAME,Search Date,company related,personal related,Note,
18042,34341210,FLUOR CORP,Alan,Alan Lee Boeckmann,Boeckmann,2010,X,X,2019/1/13,X,X,,
38013,16113310,CHARMING SHOPPES INC,Alan,Alan Rosskamm,Rosskamm,2008,X,X,2019/1/13,X,X,,
29545,31792310,FINISH LINE INC -CL A,Alan,Alan H. Cohen,Cohen,2008,X,X,2019/1/13,X,X,,
8329,91886610,VALASSIS COMMUNICATIONS INC,Alan,Alan F. Schultz,Schultz,2011,X,X,2019/1/13,X,X,,
46094,37954N20,GLOBE SPECIALTY METALS INC,Alan,Alan Kestenbaum,Kestenbaum,2008,X,X,2019/1/13,X,X,,
39508,75935160,REINSURANCE GROUP AMER INC,Albert,Albert Greig Woodring,Woodring,2016,X,X,2019/1/13,X,X,,
11060,63938C10,NAVIENT CORP,Albert,Albert L. Lord,Lord,2008,X,X,2019/1/14,X,X,,
38309,41025210,HANDLEMAN CO,Albert,"Albert A. Koch, CPA","Koch, CPA",2011,X,X,2019/1/14,X,X,,
49313,78442P10,SLM CORP,Albert,Albert L. Lord,Lord,2013,X,X,2019/1/14,X,X,,
33749,92974010,WABTEC CORP,Albert,Albert J. Neupaver,Neupaver,2013,X,X,2019/1/14,X,X,,
47769,87582Y10,TANGOE INC,Albert,"Albert R. Subbloie, Jr.","Subbloie, Jr.",2014,X,X,2019/1/14,X,X,,
49269,444610,ACETO CORP,Albert,Albert L. Eilender,Eilender,2013,X,X,2019/1/14,X,X,,
33044,69076840,OWENS-ILLINOIS INC,Albert P.,Albert P. L. Stroucken,Stroucken,2015,X,X,2019/1/14,X,X,,
16046,35969410,FULLER (H. B.) CO,Albert P.,Albert P. L. Stroucken,Stroucken,2006,X,X,2019/1/14,X,X,,
32844,63115810,NASH FINCH CO,Alec,Alec C. Covington,Covington,2012,X,X,2019/1/14,X,X,,
47613,96823520,WILHELMINA INTERNATIONAL INC,Alex,Alex L. Vaickus,Vaickus,2015,X,X,2019/1/14,X,X,,
42672,94946T10,WELLCARE HEALTH PLANS INC,Alexander,Alexander Robb Cunningham,Cunningham,2013,X,X,2019/1/14,X,X,,
836,G2918310,EATON CORP PLC,Alexander,Alexander M. Cutler,Cutler,2015,X,X,2019/1/14,X,X,,
6126,46025410,INTL RECTIFIER CORP,Alexander,"Alexander Lidow, Ph.D.","Lidow, Ph.D.",2008,https://twitter.com/AlexLidow,AlexLidow,2019/1/14,20,0,,
51200,45782B10,INSEEGO CORP,Alexander,Alexander Mashinsky,Mashinsky,2015,X,X,2019/1/14,X,X,,
33390,72027910,PIER 1 IMPORTS INC/DE,Alexander,Alexander W. Smith,Smith,2016,X,X,2019/1/14,X,X,,
44700,67070410,NUVASIVE INC,Alexis,Alexis V. Lukianov,Lukianov,2014,X,X,2019/1/14,X,X,,
30393,88870P10,TIVO CORP,Alfred,Alfred J. Amoroso,Amoroso,2011,X,X,2019/1/14,X,X,,
20214,35104T10,4LICENSING CORP,Alfred,Alfred R. Kahn,Kahn,2011,X,X,2019/1/14,X,X,,
35709,06652B10,BANKUNITED FINANCIAL CORP,Alfred,Alfred R. Camner,Camner,2007,X,X,2019/1/14,X,X,,
45520,88870R10,TIVITY HEALTH INC,Alfred,Alfred Lumsdaine,Lumsdaine,2015,X,X,2019/1/14,X,X,,
1118,41805610,HASBRO INC,Alfred,Alfred Joseph Verrecchia,Verrecchia,2007,X,X,2019/1/14,X,X,,
53393,78669210,SAGENT PHARMACEUTICALS INC,Allan,Allan Oberman,Oberman,2015,X,X,2019/1/14,X,X,,
24113,6254010,BANK OF HAWAII CORP,Allan,Allan Ray Landon,Landon,2010,X,X,2019/1/14,X,X,,
23568,48783610,KELLOGG CO,Allan Douglas.,Allan Douglas. D. MacKay,MacKay,2010,X,X,2019/1/14,X,X,,
4070,91345610,UNIVERSAL CORP/VA,Allen,Allen B. King,King,2007,X,X,2019/1/14,X,X,,
15883,55261R10,MAF BANCORP INC,Allen,Allen H. Koranda,Koranda,2006,X,X,2019/1/14,X,X,,
12909,22286210,COVENTRY HEALTH CARE INC,Allen,Allen F. Wise,Wise,2012,X,X,2019/1/14,X,X,,
8592,G0177J10,ALLERGAN PLC,Allen,Allen Chao,Chao,2007,X,X,2019/1/14,X,X,,
47625,45878610,INTERMEC INC,Allen,Allen J. Lauer,Lauer,2012,X,X,2019/1/15,X,X,,
36329,43940T10,HOPE BANCORP INC,Alvin,Alvin D. Kang,Kang,2012,X,X,2019/1/15,X,X,,
7863,7330210,B/E AEROSPACE INC,Amin,Amin J. Khoury,Khoury,2014,X,X,2019/1/15,X,X,,
42293,21871D10,CORELOGIC INC,Anand,Anand K. Nallathambi,Nallathambi,2015,X,X,2019/1/15,X,X,,
55309,G5509L10,LIVANOVA PLC,Andr-Michel,Andr-Michel Ballester,Ballester,2016,X,X,2019/1/15,X,X,,
42937,20586240,COMVERSE TECHNOLOGY INC,Andre,Andre Dahan,Dahan,2010,X,X,2019/1/15,X,X,,
30693,50217510,LTC PROPERTIES INC,Andre,"Andre C. Dimitriadis, Ph.D.","Dimitriadis, Ph.D.",2006,X,X,2019/1/15,X,X,,
14197,5430310,AVON PRODUCTS,Andrea,Andrea Jung,Jung,2011,https://twitter.com/AndreaJung9,AndreaJung9,2019/1/15,18,2,,
29226,49375T10,KID BRANDS INC,Andrew,Andrew R. Gatto,Gatto,2007,X,X,2019/1/15,X,X,,
22327,61174210,MONSTER WORLDWIDE INC,Andrew,Andrew J. McKelvey,McKelvey,2006,X,X,2019/1/15,X,X,,
46751,77928710,ROUSE PROPERTIES INC,Andrew,Andrew P. Silberfein,Silberfein,2015,X,X,2019/1/15,X,X,,
47874,1.41E+54,CAPSTEAD MORTGAGE CORP,Andrew,Andrew F. Jacobs,Jacobs,2016,X,X,2019/1/15,X,X,,
52170,86881L10,SURGICAL CARE AFFILIATES INC,Andrew,Andrew P. Hayek,Hayek,2016,X,X,2019/1/15,X,X,,
19887,3761200,CKE RESTAURANTS INC,Andrew,Andrew F. Puzder,Puzder,2011,https://twitter.com/AndyPuzder,AndyPuzder,2019/1/15,0,20,,
33267,85254C30,STAGE STORES INC,Andrew,Andrew T. Hall,Hall,2011,X,X,2019/1/15,X,X,,
48498,74838C10,QUIKSILVER INC,Andrew,Andrew P. Mooney,Mooney,2014,X,X,2019/1/15,X,X,,
44985,245110,AXA FINANCIAL INC,Andrew,Andrew John McMahon,McMahon,2010,X,X,2019/1/15,X,X,,
42215,3268120,ANALYSTS INTERNATIONAL CORP,Andrew,Andrew K. Borgstrom,Borgstrom,2010,X,X,2019/1/15,X,X,,
9481,16515910,CHESAPEAKE CORP,Andrew,Andrew J. Kohut,Kohut,2007,X,X,2019/1/15,X,X,,
55545,G4474Y21,JANUS HENDERSON GROUP PLC,Andrew,Andrew James Formica,Formica,2016,X,X,2019/1/15,X,X,,
42391,73172K10,POLYCOM INC,Andrew,Andrew M. Miller,Miller,2013,X,X,2019/1/15,X,X,,
38507,13809810,CANTEL MEDICAL CORP,Andrew,Andrew A. Krakauer,Krakauer,2016,X,X,2019/1/15,X,X,,
43450,45167R10,IDEX CORP,Andrew,Andrew K. Silvernail,Silvernail,2016,X,X,2019/1/15,X,X,,
54926,196310,A S V INC,Andrew,Andrew M. Rooke,Rooke,2016,X,X,2019/1/15,X,X,,
39772,17273K10,CIRCOR INTL INC,Andrew,Andrew William Higgins,Higgins,2012,X,X,2019/1/15,X,X,,
16494,91499R96,UNIVISION COMMUNICATIONS INC,Andrew,Andrew Jerrold Perenchio,Perenchio,2006,X,X,2019/1/15,X,X,,
16070,80685710,SCHLUMBERGER LTD,Andrew F.,Andrew F. J. Gould,Gould,2011,X,X,2019/1/15,X,X,,
31477,24353710,DECKERS OUTDOOR CORP,Angel,Angel R. Martinez,Martinez,2015,https://twitter.com/AngelSB55,AngelSB55,2019/1/15,0,20,,
34281,3675210,ANTHEM INC,Angela Rose,Angela Rose Fick Braly,Braly,2012,X,X,2019/1/15,X,X,,
11429,22237210,COUNTRYWIDE FINANCIAL CORP,Angelo,Angelo R. Mozilo,Mozilo,2007,X,X,2019/1/15,X,X,,
43207,20451N10,COMPASS MINERALS INTL INC,Angelo,"Angelo C. Brisimitzakis, Ph.D.","Brisimitzakis, Ph.D.",2012,X,X,2019/1/15,X,X,,
38649,64115T10,NETSCOUT SYSTEMS INC,Anil,Anil K. Singhal,Singhal,2016,X,X,2019/1/15,X,X,,
45190,46261300,IPALCO ENTERPRISES INC,Ann,Ann D. Murtlow,Murtlow,2010,https://twitter.com/AnnMurtlow,AnnMurtlow,2019/1/15,18,2,,
35315,14428510,CARPENTER TECHNOLOGY CORP,Anne,Anne L. Stevens,Stevens,2009,X,X,2019/1/15,X,X,,
19294,98412160,XEROX CORP,Anne,Anne M. Mulcahy,Mulcahy,2008,X,X,2019/1/19,X,X,,
51186,50101410,KRISPY KREME DOUGHNUTS INC,Anthony,Anthony N. Thompson,Thompson,2015,X,X,2019/1/19,X,X,,
6614,82632210,SIERRA HEALTH SERVICES,Anthony,Anthony M. Marlon,Marlon,2006,X,X,2019/1/19,X,X,,
28963,60935Y20,MONEYGRAM INTERNATIONAL INC,Anthony,Anthony P. Ryan,Ryan,2009,X,X,2019/1/19,X,X,,
52936,94770V10,WEBMD HEALTH CORP,Anthony,Anthony Vuolo,Vuolo,2011,X,X,2019/1/19,X,X,,
52264,89531P10,TREX CO INC,Anthony,Anthony J. Cavanna,Cavanna,2007,X,X,2019/1/19,X,X,,
4748,23333110,DTE ENERGY CO,Anthony,"Anthony F. Earley, Jr.","Earley, Jr.",2010,X,X,2019/1/19,X,X,,
44079,16113310,CHARMING SHOPPES INC,Anthony,Anthony M. Romano,Romano,2011,X,X,2019/1/19,X,X,,
30719,35245110,FRANKLIN BANK CORP,Anthony,Anthony J. Nocella,Nocella,2006,X,X,2019/1/19,X,X,,
33085,78454L10,SM ENERGY CO,Anthony,Anthony J. Best,Best,2014,X,X,2019/1/19,X,X,,
1689,33793210,FIRSTENERGY CORP,Anthony,Anthony J. Alexander,Alexander,2014,X,X,2019/1/19,X,X,,
37453,02744M10,AMERICAN MEDICAL SYSTMS HLDS,Anthony,"Anthony P. Bihl, III","Bihl, III",2010,X,X,2019/1/19,X,X,,
36949,62545310,MULTIMEDIA GAMES HOLDING CO,Anthony,Anthony M. Sanfilippo,Sanfilippo,2009,X,X,2019/1/19,X,X,,
46195,29286C10,ENGILITY HOLDINGS INC,Anthony,Anthony Smeraglinolo,Smeraglinolo,2015,X,X,2019/1/19,X,X,,
45266,69331C10,PG&E CORP,Anthony,"Anthony F. Earley, Jr.","Earley, Jr.",2016,X,X,2019/1/19,X,X,,
38789,2942910,AMERICAN SCIENCE ENGINEERING,Anthony,Anthony R. Fabiano,Fabiano,2012,X,X,2019/1/19,X,X,,
43608,9.28E+14,VITAMIN SHOPPE INC,Anthony,Anthony N. Truesdale,Truesdale,2014,X,X,2019/1/19,X,X,,
38281,83421A10,SOLERA HOLDINGS INC,Anthony,Anthony Aquila,Aquila,2015,https://twitter.com/TonyAquila8020,TonyAquila8020,2019/1/19,2,18,instagram???,
45525,13119310,CALLAWAY GOLF CO,Anthony,Anthony S. Thornley,Thornley,2011,X,X,2019/1/19,X,X,,
30349,G6218510,MONTPELIER RE HOLDINGS,Anthony,"Anthony P. Taylor, Ph.D.","Taylor, Ph.D.",2008,X,X,2019/1/19,X,X,,
44899,76122Q10,RESOURCES CONNECTION INC,Anthony,Anthony Cherbak,Cherbak,2015,X,X,2019/1/19,X,X,,
31740,46072H10,INTERSTATE BAKERIES CORP,Antonio,Antonio C. Alvarez II,Alvarez II,2006,X,X,2019/1/19,X,X,,
27277,27746140,EASTMAN KODAK CO,Antonio,Antonio M. Perez,Perez,2013,X,X,2019/1/19,X,X,,
31827,89233593,TOYS R US INC,Antonio,Antonio Urcelay,Urcelay,2014,X,X,2019/1/19,X,X,,
48233,44970B10,IMS HEALTH HOLDINGS INC,Ari,Ari Bousbib,Bousbib,2015,X,X,2019/1/19,X,X,,
53830,9067210,BIOTELEMETRY INC,Arie,Arie Cohen,Cohen,2009,X,X,2019/1/19,X,X,,
20311,95810210,WESTERN DIGITAL CORP,Arif,Arif Shakeel,Shakeel,2007,X,X,2019/1/19,X,X,,
11750,50105210,KRONOS INC,Aron,Aron J. Ain,Ain,2006,https://twitter.com/AronAin,AronAin,2019/1/19,18,2,,
44975,972810,AKORN INC,Arthur,Arthur S. Przybyl,Przybyl,2008,X,X,2019/1/19,X,X,,
4777,36871040,GENENTECH INC,Arthur,Arthur D. Levinson,Levinson,2007,X,X,2019/1/19,X,X,,
15191,90403410,ULTRATECH INC,Arthur,Arthur W. Zafiropoulo,Zafiropoulo,2016,X,X,2019/1/19,X,X,,
35361,20064110,COMMERCE GROUP INC/MA,Arthur,"Arthur J. Remillard, Jr.","Remillard, Jr.",2006,X,X,2019/1/19,X,X,,
229,5301510,AUTOMATIC DATA PROCESSING,Arthur,Arthur Frederic Weinbach,Weinbach,2006,X,X,2019/1/19,X,X,,
1472,G5960L10,MEDTRONIC PLC,Arthur,"Arthur D. Collins, Jr.","Collins, Jr.",2006,X,X,2019/1/19,X,X,,
6481,00847J10,AGILYSYS INC,Arthur,Arthur Rhein,Rhein,2008,X,X,2019/1/19,X,X,,
4323,89078610,TOPPS CO INC,Arthur,Arthur T. Shorin,Shorin,2006,https://twitter.com/arthurartuitive,arthurartuitive,2019/1/19,5,1,,
24118,74432010,PRUDENTIAL FINANCIAL INC,Arthur,Arthur Frederick Ryan,Ryan,2007,X,X,2019/1/19,X,X,,
1595,65011110,NEW YORK TIMES CO -CL A,Arthur,"Arthur O. Sulzberger, Jr.","Sulzberger, Jr.",2012,X,X,2019/1/19,X,X,,
48582,45169U10,IGATE CORP,Ashok,Ashok Vemuri,Vemuri,2014,X,X,2019/1/19,X,X,,
51362,32115D10,FIRST NBC BANK HOLDING CO,Ashton,"Ashton Joseph Ryan, Jr., CPA","Ryan, Jr., CPA",2015,X,X,2019/1/19,X,X,,
46578,45071R10,IXIA,Atul,Atul Bhatnagar,Bhatnagar,2011,https://twitter.com/ABhatnagar_CN,ABhatnagar_CN,2019/1/19,20,0,,
31032,16516710,CHESAPEAKE ENERGY CORP,Aubrey,Aubrey K. McClendon,McClendon,2012,X,X,2019/1/19,X,X,,
37776,05971J10,BANCORPSOUTH BANK,Aubrey,"Aubrey Burns Patterson, Jr.","Patterson, Jr.",2012,https://twitter.com/Bancorp1,Bancorp1,2019/1/19,0,2,?????????????????????,
29768,74267C10,PROASSURANCE CORP,Aubrey,"Aubrey Derrill Crowe, M.D.","Crowe, M.D.",2006,X,X,2019/1/19,X,X,,
23467,3522910,ANHEUSER-BUSCH COS INC,August,"August A. Busch, IV","Busch, IV",2007,X,X,2019/1/19,X,X,,
36491,98141910,WORLD ACCEPTANCE CORP/DE,Augustus,"Augustus Alexander McLean, III","McLean, III",2015,X,X,2019/1/22,X,X,,
22747,57632310,MASTEC INC,Austin,Austin J. Shanfelter,Shanfelter,2006,X,X,2019/1/22,X,X,,
30369,81235010,SEARS HOLDINGS CORP,Aylwin,Aylwin B. Lewis,Lewis,2007,X,X,2019/1/22,X,X,,
43965,45170X20,IDENTIV INC,Ayman,Ayman S. Ashour,Ashour,2013,https://twitter.com/AymanAshour,AymanAshour,2019/1/22,19,1,,
20730,33790710,FIRSTFED FINANCIAL CORP/CA,Babette,Babette E. Heimbuch,Heimbuch,2008,X,X,2019/1/22,X,X,,
34056,53217R20,LIFE TIME FITNESS INC,Bahram,Bahram Akradi,Akradi,2014,https://twitter.com/bahramakradi,bahramakradi,2019/1/22,0,0,,
6218,50216010,LSB INDUSTRIES INC,Barry,Barry H. Golsen,Golsen,2015,X,X,2019/1/22,X,X,,
55330,35905910,FRONTIER AIRLINES HOLDINGS,Barry,Barry L. Biffle,Biffle,2016,X,X,2019/1/22,X,X,,
37804,36555P10,GARDNER DENVER HOLDINGS INC,Barry,Barry L. Pennypacker,Pennypacker,2012,X,X,2019/1/22,X,X,,
16402,44919P50,IAC/INTERACTIVECORP,Barry,Barry Diller,Diller,2014,X,X,2019/1/22,X,X,,
31309,22148510,COST PLUS INC,Barry,Barry J. Feld,Feld,2011,X,X,2019/1/22,X,X,,
46426,17958410,CLAIRES STORES INC,Beatrice,Beatrice Lafon,Lafon,2015,X,X,2019/1/22,X,X,,
36255,88870R10,TIVITY HEALTH INC,Ben,"Ben R. Leedle, Jr.","Leedle, Jr.",2014,X,X,2019/1/22,X,X,,
49757,76156550,REX ENERGY CORP,Benjamin,Benjamin W. Hulburt,Hulburt,2009,X,X,2019/1/22,X,X,,
33959,87405410,TAKE-TWO INTERACTIVE SFTWR,Benjamin,Benjamin Feder,Feder,2010,https://twitter.com/BenFederAuthor,BenFederAuthor,2019/1/22,0,20,,
15226,G4883310,WEATHERFORD INTL PLC,Bernard,"Bernard J. Duroc-Danner, Ph.D.","Duroc-Danner, Ph.D.",2016,X,X,2019/1/22,X,X,,
15471,3265720,ANALOGIC CORP,Bernard,"Bernard M. Gordon, MS","Gordon, MS",2007,X,X,2019/1/22,X,X,,
36509,80819410,SCHULMAN (A.) INC,Bernard,Bernard Rzepka,Rzepka,2016,X,X,2019/1/22,X,X,,
48000,14149F10,CARDINAL FINANCIAL CORP,Bernard,Bernard H. Clineburg,Clineburg,2015,X,X,2019/1/22,X,X,,
2433,87254010,TJX COMPANIES INC,Bernard,Bernard Cammarata,Cammarata,2006,X,X,2019/1/22,X,X,,
23578,98302410,WYETH,Bernard,Bernard J. Poussot,Poussot,2008,X,X,2019/1/22,X,X,,
13905,41308610,HARMAN INTERNATIONAL INDS,Bernard,Bernard A. Girod,Girod,2007,X,X,2019/1/22,X,X,,
43590,76131D10,RESTAURANT BRANDS INTL INC,Bernardo,Bernardo Vieira Hees,Hees,2012,X,X,2019/1/22,X,X,,
53607,22207020,COTY INC,Bernd,Bernd Erich Beetz,Beetz,2012,X,X,2019/1/22,X,X,,
51194,45071R10,IXIA,Bethany,Bethany Jean Mayer,Mayer,2016,X,X,2019/1/22,X,X,,
32393,88033G40,TENET HEALTHCARE CORP,Biggs,Biggs C. Porter,Porter,2012,X,X,2019/1/22,X,X,,
50283,84470P10,SOUTHSIDE BANCSHARES INC,Bill,Bill G. Hartley,Hartley,2011,X,X,2019/1/22,X,X,,
8674,98385X10,XTO ENERGY INC,Bob,Bob R. Simpson,Simpson,2008,X,X,2019/1/22,X,X,,
35989,88833920,TITANIUM METALS CORP,Bobby,Bobby D. O'Brien,O'Brien,2011,X,X,2019/1/22,X,X,,
34660,35063R10,FOUNDRY NETWORKS INC,Bobby,"Bobby R. Johnson, Jr.","Johnson, Jr.",2007,X,X,2019/1/22,X,X,,
51864,39036P20,GREAT ELM CAPITAL GROUP INC,Boris,Boris Teksler,Teksler,2016,X,X,2019/1/22,X,X,,
25914,40502410,HAEMONETICS CORP,Brad,Brad Nutter,Nutter,2008,X,X,2019/1/22,X,X,,
33323,45782B10,INSEEGO CORP,Brad,Brad Weinert,Weinert,2007,X,X,2019/1/22,X,X,,
5246,8651610,BEST BUY CO INC,Bradbury,Bradbury H. Anderson,Anderson,2008,X,X,2019/1/22,X,X,,
6695,85814710,STEEL TECHNOLOGIES INC,Bradford,Bradford T. Ray,Ray,2006,X,X,2019/1/22,X,X,,
52400,74371310,PROTO LABS INC,Bradley,Bradley A. Cleveland,Cleveland,2013,X,X,2019/1/22,X,X,,
48556,91359V10,UNIVERSAL INSURANCE HLDGS,Bradley,Bradley Ian Meier,Meier,2012,X,X,2019/1/22,X,X,,
47860,89903550,TUESDAY MORNING CORP,Brady,Brady J. Churches,Churches,2013,X,X,2019/1/22,X,X,,
29898,43258910,HILLSHIRE BRANDS CO,Brenda,Brenda C. Barnes,Barnes,2010,X,X,2019/1/22,X,X,,
38971,40428000,HSBC FINANCE CORP,Brendan,Brendan Paul McDonagh,McDonagh,2007,X,X,2019/1/22,X,X,,
27368,24906P10,DENTSPLY SIRONA INC,Bret,Bret W. Wise,Wise,2015,X,X,2019/1/22,X,X,,
39031,59408Q10,MICHAELS COS INC,Brian,Brian C. Cornell,Cornell,2008,X,X,2019/1/22,X,X,,
31619,09534T50,BLUE COAT SYSTEMS INC,Brian,Brian M. NeSmith,NeSmith,2010,X,X,2019/1/22,X,X,,
48670,9.03E+14,U S SILICA HOLDINGS INC,Brian,Brian Slobodow,Slobodow,2011,https://twitter.com/BSlobodow,BSlobodow,2019/1/22,20,0,,
52120,00163U10,AMAG PHARMACEUTICALS INC,Brian,"Brian J. G. Pereira, M.D.","Pereira, M.D.",2011,X,X,2019/1/22,X,X,,
29531,40502410,HAEMONETICS CORP,Brian,Brian P. Concannon,Concannon,2014,X,X,2019/1/22,X,X,,
13314,60054410,MILLER (HERMAN) INC,Brian,Brian C. Walker,Walker,2016,X,X,2019/1/22,X,X,,
29475,8651610,BEST BUY CO INC,Brian,Brian J. Dunn,Dunn,2011,https://twitter.com/briandunn,briandunn,2019/1/22,0,20,,
29377,49558210,KING PHARMACEUTICALS INC,Brian,Brian A. Markison,Markison,2009,X,X,2019/1/22,X,X,,
10397,63764010,NATIONAL SEMICONDUCTOR CORP,Brian,Brian L. Halla,Halla,2008,X,X,2019/1/22,X,X,,
46055,62886K10,NCI INC,Brian,Brian J. Clark,Clark,2016,X,X,2019/1/24,X,X,,
46602,25260310,DIAMOND FOODS INC,Brian,Brian J. Driscoll,Driscoll,2015,X,X,2019/1/24,X,X,,
20583,92929710,WMS INDUSTRIES INC,Brian,Brian R. Gamache,Gamache,2013,X,X,2019/1/24,X,X,,
48216,49271M10,KEURIG GREEN MOUNTAIN INC,Brian,Brian P. Kelley,Kelley,2015,X,X,2019/1/24,X,X,,
13576,1877230,ALLIANCE ONE INTL INC,Brian,Brian J. Harker,Harker,2006,X,X,2019/1/24,X,X,,
32620,3760401,APOLLO EDUCATION GROUP INC,Brian,Brian E. Mueller,Mueller,2008,X,X,2019/1/24,X,X,,
22802,G9829410,XL GROUP LTD,Brian,Brian Michael O'Hara,O'Hara,2007,X,X,2019/1/24,X,X,,
17830,90467720,UNIFI INC,Brian,Brian R. Parke,Parke,2007,X,X,2019/1/24,X,X,,
35054,87154620,SYMMETRY MEDICAL INC,Brian,Brian S. Moore,Moore,2010,X,X,2019/1/24,X,X,,
18116,87244360,THQ INC,Brian,Brian J. Farrell,Farrell,2011,X,X,2019/1/24,X,X,,
33205,37468910,GIBRALTAR INDUSTRIES INC,Brian,Brian Jeffrey Lipke,Lipke,2014,X,X,2019/1/24,X,X,,
24901,77669610,ROPER TECHNOLOGIES INC,Brian,Brian D. Jellison,Jellison,2016,X,X,2019/1/24,X,X,,
37200,57174810,MARSH & MCLENNAN COS,Brian,Brian Charles Duperreault,Duperreault,2012,X,X,2019/1/24,X,X,,
43638,3268120,ANALYSTS INTERNATIONAL CORP,Brittany,Brittany B. McKinney,McKinney,2012,X,X,2019/1/24,X,X,,
